ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22000	PHD QUALIFYING EXAM 	امتحان جامع دکترا	امتحان جامع	دکترا	0		31990		
22001	RESEARCH PROPOSAL	پیشنهاد پژوهشی	پیشنهاد پژوهشی	دکترا	0				
22010	READING COURSE	مطالعه انفرادی	مطالعه انفرادی	کارشناسی	4				
22011	GENERAL MATH 1	ریاضی عمومی 1	نظری	کارشناسی	4				
22012	GENERAL MATH 2	ریاضی عمومی 2	نظری	کارشناسی	4		22011		
22013	PROGRAMING NUM ANAL	آنالیز عددی و برنامه سازی	نظری	کارشناسی	3		22011		
22014	COMPUTER PROGRAMING	برنامه سازی کامپیوتر	نظری	کارشناسی	3				
22015	GEN MATH 1	ریاضی عمومی 1	نظری	کارشناسی	4			ترم پاییز 95-96	فنائی و جعفری و پورنکی و اکبری(مخصوص شیمی)
22016	GEN MATH 2	ریاضی عمومی 2	نظری	کارشناسی	4		22015	ترم پاییز 95-96	مقدسی
22017	APPL MATH 1	ریاضی کاربردی 1	نظری	کارشناسی	3		22015		
22018	COMPUTER PROGRAMING	برنامه نویسی کامپیوتر	نظری	کارشناسی	2		22015		
22019	APPL MATH 1	ریاضی کاربردی 1	نظری	کارشناسی	4		22015	ترم پاییز 95-96	رزوان
22020	PROJECT	پروژه	پروژه	کارشناسی ارشد	4				
22021	APPLIED ANALYSIS	مفاهیم اساسی در آنالیز کاربردی و PDE	نظری	کارشناسی ارشد	2		22412		
22022	FINITEELEMENTS	مقدمه ای بر آنالیز عددی و روش عناصر متناهی	نظری	کارشناسی ارشد	2		22021		
22023	MATH LAB 1	آز ریاضیات 1	آزمایشگاه	کارشناسی	1				
22024	MATH LAB 2	آز ریاضیات 2	آزمایشگاه	کارشناسی	1		22023		
22025	MATH LAB	آز ریاضیات	آزمایشگاه	کارشناسی	2				
22026	MATH WRITING	ریاضی نویسی	نظری	کارشناسی	2			ترم پاییز 95-96	میرصادقی و ثقفیان
22027	MATH LAB 2	آز ریاضیات 2	آزمایشگاه	کارشناسی	1		22025		
22028	EVOLUTIONEQUATIONS	معادلات تحولی ونیم گروه ها	نظری	کارشناسی ارشد	2		22021		
22029	INVERSE PROBLEM	مقدمه ای بر شناسایی پارامترهاو مسائل وارونه	نظری	کارشناسی ارشد	2				
22030	READING COURSE	مطالعه انفرادی	مطالعه انفرادی	مشترک	4				
22031	ENG MATH 1	ریاضی مهندسی 1	نظری	کارشناسی	4		22012		
22032	ENG MATH 2	ریاضی مهندسی 2	نظری	کارشناسی	4		22031		
22033	ENG MATH 3	ریاضی مهندسی 3	نظری	کارشناسی	3		22031		
22034	DIFF EQN	معادلات دیفرانسیل	نظری	کارشناسی	3	22016		ترم پاییز 95-96	باقرپور و منیفی و مستفید
22035	ENG MATH	ریاضی مهندسی	نظری	کارشناسی	3		22034	ترم پاییز 95-96	رجبی و منیفی و باقرپور
22036	APPL MATH 2	ریاضی کاربردی 2	نظری	کارشناسی	2		 22019 و 22017		
22037	INTRO COMPLEX VAR 	آشنایی با توابع مختلط	نظری	کارشناسی	2		 22034 و 22016		
22038	DIFF EQN	معادلات دیفرانسیل	نظری	کارشناسی	4	22016			
22039	INTRO PDE 	آشنایی با معادلاتدیفرانسیل با مشتقاتجزئی	نظری	کارشناسی	2		 22034 و 22016		
22040	INTRO TO MATH	آشنایی با ریاضیات	نظری	کارشناسی	1				
22041	INTRO COMPLEX VAR 	آشنایی با توابع مختلط	نظری	کارشناسی	3		 22034 و 22016		
22042	INTRO PDE 	آشنایی با معادلاتدیفرانسیل با مشتقاتجزئی	نظری	کارشناسی	3		 22034 و 22016		
22043	I.CONTROLTHEORY	مقدمه ای بر نظریه کنترل	نظری	کارشناسی ارشد	2		 22122 یا 22028		
22044	QUEUEING THEORY	نظریه صف	نظری	کارشناسی	4				
22045	TOPICSINALGEBRA	مباحثی در جبر	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	پورنکی
22046	GENERAL MATH 1	ریاضی عمومی 1	نظری	کارشناسی	3				
22047	GENERAL MATH 2	ریاضی عمومی 2	نظری	کارشناسی	3				
22050	NONSTAND THEORY SEM	سمینار نظریه های غیراستاندارد	سمینار	کارشناسی ارشد	1				
22060	GAME THEORY SEM	سمینار نظریه بازیها	سمینار	کارشناسی ارشد	2				
22061	PROB & APPL	احتمال و کاربرد آن	نظری	کارشناسی	3		22015		
22062	STATISTICAL COMPU	محاسبات آماری	نظری	مشترک	3		 22014 و 22013 و 22061		
22063	ENG PROB & STAT 	آمار و احتمال مهندسی	نظری	کارشناسی	3		22015	ترم پاییز 95-96	تقوی طلب
22064	STAT & APPL	آمار و کاربرد آن	نظری	کارشناسی	4		22089	ترم پاییز 95-96	میرصادقی
22065	DATA ANALYSIS	تحلیل داده ها	نظری	کارشناسی	4			ترم پاییز 95-96	علیشاهی و احیایی
22070	INTRO COMPUTER SCI	آشنایی با علوم کامپیوتر	نظری	کارشناسی	1				
22071	NUM COMPUTATION 	محاسبات عددی	نظری	کارشناسی	2		22034		
22072	NUM COMPUTATION	محاسبات عددی	نظری	کارشناسی	3		22034	ترم پاییز 95-96	مهدوی امیری
22080	BSC PROJECT	پروژه کارشناسی	پروژه	کارشناسی	3			ترم پاییز 95-96	خودت
22081	TRAINING	کارآموزی	کارآموزی	کارشناسی	0				
22085	ELEM PROB & STAT	آمار و احتمال مهندسی	نظری	کارشناسی	3				
22087	ELEM MATH STAT	آمار ریاضی مقدماتی	نظری	کارشناسی	3		22085		
22089	PROB & APPL	احتمال و کاربرد آن	نظری	کارشناسی	4		22016	ترم پاییز 95-96	ظهوری زنگنه
22090	BSC PROJECT	پروژه کارشناسی	پروژه	کارشناسی	3				
22098	PREREQ MATH 	ریاضی تقویتی	نظری	کارشناسی	4				
22099	INTRO MATH	ریاضی تقویتی	نظری	کارشناسی	3				
22100	MATH EDUC SEM	سمینارآموزش ریاضی	سمینار	کارشناسی ارشد	1				
22110	REC THEORY SEM	سمینار نظریه بازگشتی	سمینار	کارشناسی ارشد	1				
22115	LANG MATH	زبان ریاضی	نظری	کارشناسی	2		 31101 یا 31124		
22116	LANG MATH 2	زبان ریاضی 2	نظری	کارشناسی	1				
22117	ADV LANG MATH	زبان ریاضی پیشرفته	نظری	کارشناسی ارشد	2				
22118	COMBIN AND APPL	ترکیبات و کاربردهای آن	نظری	کارشناسی	4		22825	ترم پاییز 95-96	قاجار
22119	HEYTING ARITH	حساب شهودگرایی	نظری	کارشناسی ارشد	4				
22120	MODEL THEORY SEM	سمینار نظریه مدلها	سمینار	کارشناسی ارشد	1				
22121	HISTORY OF MATH 	تاریخ ریاضیات	نظری	کارشناسی	3		22012		
